date,venue,toss_winner,winner,team1,team2
2005-02-17,Eden Park,Australia,Australia,New Zealand,Australia
2005-06-13,The Rose Bowl,England,England,England,Australia
2005-10-21,New Wanderers Stadium,New Zealand,New Zealand,South Africa,New Zealand
2006-01-09,"""Brisbane Cricket Ground",Australia,Australia,Australia,South Africa
2006-02-24,New Wanderers Stadium,South Africa,South Africa,South Africa,Australia
2006-06-15,The Rose Bowl,Sri Lanka,Sri Lanka,England,Sri Lanka
2006-08-28,County Ground,England,Pakistan,England,Pakistan
2006-12-01,New Wanderers Stadium,South Africa,India,South Africa,India
2006-12-22,Westpac Stadium,New Zealand,Sri Lanka,New Zealand,Sri Lanka
2006-12-26,Eden Park,New Zealand,New Zealand,New Zealand,Sri Lanka
2007-01-09,Sydney Cricket Ground,Australia,Australia,Australia,England
2007-06-28,Kennington Oval,West Indies,West Indies,England,West Indies
2007-06-29,Kennington Oval,West Indies,England,England,West Indies
2007-09-01,Gymkhana Club Ground,Bangladesh,Bangladesh,Kenya,Bangladesh
2007-09-02,Gymkhana Club Ground,Bangladesh,Pakistan,Bangladesh,Pakistan
2007-09-04,Gymkhana Club Ground,Kenya,Pakistan,Kenya,Pakistan
2007-09-11,New Wanderers Stadium,South Africa,South Africa,South Africa,West Indies
2007-09-12,Kingsmead,New Zealand,New Zealand,Kenya,New Zealand
2007-09-12,Newlands,Australia,Zimbabwe,Australia,Zimbabwe
2007-09-12,Kingsmead,Scotland,Pakistan,Pakistan,Scotland
2007-09-13,New Wanderers Stadium,Bangladesh,Bangladesh,Bangladesh,West Indies
2007-09-13,Newlands,England,England,England,Zimbabwe
2007-09-14,New Wanderers Stadium,Kenya,Sri Lanka,Kenya,Sri Lanka
2007-09-14,Newlands,England,Australia,Australia,England
2007-09-15,New Wanderers Stadium,New Zealand,Sri Lanka,New Zealand,Sri Lanka
2007-09-15,Newlands,South Africa,South Africa,South Africa,Bangladesh
2007-09-16,New Wanderers Stadium,India,New Zealand,India,New Zealand
2007-09-16,Newlands,England,South Africa,South Africa,England
2007-09-16,Newlands,Australia,Australia,Australia,Bangladesh
2007-09-17,New Wanderers Stadium,Sri Lanka,Pakistan,Pakistan,Sri Lanka
2007-09-18,New Wanderers Stadium,Pakistan,Pakistan,Australia,Pakistan
2007-09-18,New Wanderers Stadium,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka
2007-09-18,Kingsmead,England,New Zealand,England,New Zealand
2007-09-19,Kingsmead,South Africa,South Africa,South Africa,New Zealand
2007-09-19,Kingsmead,India,India,England,India
2007-09-20,Kingsmead,India,India,South Africa,India
2007-09-20,Newlands,Pakistan,Pakistan,Bangladesh,Pakistan
2007-09-20,Newlands,Australia,Australia,Australia,Sri Lanka
2007-09-22,Kingsmead,India,India,Australia,India
2007-09-22,Newlands,New Zealand,Pakistan,New Zealand,Pakistan
2007-09-24,New Wanderers Stadium,India,India,India,Pakistan
2007-10-20,Brabourne Stadium,Australia,India,India,Australia
2007-11-23,New Wanderers Stadium,South Africa,South Africa,South Africa,New Zealand
2007-12-11,Western Australia Cricket Association Ground,Australia,Australia,Australia,New Zealand
2007-12-16,St George's Park,West Indies,West Indies,South Africa,West Indies
2008-01-18,New Wanderers Stadium,South Africa,South Africa,South Africa,West Indies
2008-02-01,Melbourne Cricket Ground,India,Australia,Australia,India
2008-02-05,Eden Park,New Zealand,England,New Zealand,England
2008-02-07,Jade Stadium,England,England,New Zealand,England
2008-04-20,National Stadium,Pakistan,Pakistan,Pakistan,Bangladesh
2008-06-13,Old Trafford,England,England,England,New Zealand
2008-06-20,"""Kensington Oval",West Indies,West Indies,West Indies,Australia
2008-08-03,"""Civil Service Cricket Club",Scotland,Scotland,Bermuda,Scotland
