date,venue,toss_winner,winner,team1,team2,toss_match_winner,venue_avg
2018-01-03,Bay Oval,New Zealand,New Zealand,New Zealand,West Indies,1,0.6
2018-01-22,Westpac Stadium,New Zealand,New Zealand,Pakistan,New Zealand,1,0.6
2018-01-25,Eden Park,Pakistan,Pakistan,Pakistan,New Zealand,1,0.6
2018-01-28,Bay Oval,Pakistan,Pakistan,Pakistan,New Zealand,1,0.6
2018-02-03,Sydney Cricket Ground,Australia,Australia,New Zealand,Australia,1,0.6
2018-02-07,Bellerive Oval,Australia,Australia,England,Australia,1,0.6
2018-02-10,Melbourne Cricket Ground,Australia,Australia,England,Australia,1,0.6
2018-02-13,Westpac Stadium,England,New Zealand,New Zealand,England,0,0.6
2018-02-16,Eden Park,New Zealand,Australia,New Zealand,Australia,0,0.6
2018-02-18,The Wanderers Stadium,South Africa,India,India,South Africa,0,0.6
2018-02-18,Seddon Park,New Zealand,England,England,New Zealand,0,0.6
2018-02-21,SuperSport Park,South Africa,South Africa,India,South Africa,1,0.6
2018-02-21,Eden Park,New Zealand,Australia,New Zealand,Australia,0,0.6
2018-02-24,Newlands,South Africa,India,India,South Africa,0,0.6
2018-03-06,"""R.Premadasa Stadium",Sri Lanka,Sri Lanka,India,Sri Lanka,1,0.6
2018-03-12,"""R.Premadasa Stadium",India,India,Sri Lanka,India,1,0.6
2018-04-01,National Stadium,West Indies,Pakistan,Pakistan,West Indies,0,0.6
2018-04-02,National Stadium,Pakistan,Pakistan,Pakistan,West Indies,1,0.6
2018-04-03,National Stadium,West Indies,Pakistan,West Indies,Pakistan,0,0.6
2018-06-12,Hazelaarweg,Ireland,Netherlands,Netherlands,Ireland,0,0.6
2018-06-12,"""Grange Cricket Club",Pakistan,Pakistan,Pakistan,Scotland,1,0.6
2018-06-13,"""Grange Cricket Club",Pakistan,Pakistan,Pakistan,Scotland,1,0.6
2018-06-13,Hazelaarweg,Ireland,Netherlands,Ireland,Netherlands,0,0.6
2018-06-16,Sportpark Het Schootsveld,Ireland,Ireland,Ireland,Scotland,1,0.6
2018-06-19,VRA Ground,Netherlands,Scotland,Netherlands,Scotland,0,0.6
2018-06-20,VRA Ground,Scotland,Scotland,Scotland,Netherlands,1,0.6
2018-06-27,"""The Village",Ireland,India,India,Ireland,0,0.6
2018-06-27,Edgbaston,Australia,England,England,Australia,0,0.6
2018-06-29,"""The Village",Ireland,India,India,Ireland,0,0.6
2018-07-01,Harare Sports Club,Zimbabwe,Pakistan,Pakistan,Zimbabwe,0,0.6
2018-07-02,Harare Sports Club,Australia,Australia,Pakistan,Australia,1,0.6
2018-07-03,Harare Sports Club,Zimbabwe,Australia,Australia,Zimbabwe,0,0.6
2018-07-03,Old Trafford,India,India,England,India,1,0.6
2018-07-04,Harare Sports Club,Pakistan,Pakistan,Zimbabwe,Pakistan,1,0.6
2018-07-05,Harare Sports Club,Australia,Pakistan,Pakistan,Australia,0,0.6
2018-07-06,Sophia Gardens,England,England,India,England,1,0.6
2018-07-06,Harare Sports Club,Zimbabwe,Australia,Zimbabwe,Australia,0,0.6
2018-07-08,County Ground,India,India,England,India,1,0.6
2018-07-08,Harare Sports Club,Australia,Pakistan,Australia,Pakistan,0,0.6
2018-08-14,"""R.Premadasa Stadium",South Africa,Sri Lanka,South Africa,Sri Lanka,0,0.6
2018-10-09,Buffalo Park,South Africa,South Africa,South Africa,Zimbabwe,1,0.6
2018-10-12,Senwes Park,Zimbabwe,South Africa,Zimbabwe,South Africa,0,0.6
2018-10-22,Tolerance Oval,United Arab Emirates,Australia,United Arab Emirates,Australia,0,0.6
2018-10-24,Sheikh Zayed Stadium,Australia,Pakistan,Pakistan,Australia,0,0.6
2018-10-26,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,Australia,1,0.6
2018-10-27,"""R.Premadasa Stadium",Sri Lanka,England,England,Sri Lanka,0,0.6
2018-10-28,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,Australia,1,0.6
2018-10-31,Sheikh Zayed Stadium,Pakistan,Pakistan,Pakistan,New Zealand,1,0.6
2018-11-02,Dubai International Cricket Stadium,New Zealand,Pakistan,New Zealand,Pakistan,0,0.6
2018-11-04,Eden Gardens,India,India,West Indies,India,1,0.6
2018-11-04,Dubai International Cricket Stadium,Pakistan,Pakistan,Pakistan,New Zealand,1,0.6
2018-11-06,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,India,India,West Indies,0,0.6
2018-11-11,"""MA Chidambaram Stadium",West Indies,India,West Indies,India,0,0.6
