date,team1,team2,venue,group
07-Feb,Pakistan,Netherlands,Colombo (SSC),A
07-Feb,West Indies,Scotland,Kolkata,C
07-Feb,India,USA,Mumbai,A
08-Feb,New Zealand,Afghanistan,Chennai,D
08-Feb,England,Nepal,Mumbai,C
08-Feb,Sri Lanka,Ireland,Colombo (RPS),B
09-Feb,Scotland,Italy,Kolkata,C
09-Feb,Zimbabwe,Oman,Colombo (SSC),B
09-Feb,South Africa,Canada,Ahmedabad,D
10-Feb,Netherlands,Namibia,Delhi,A
10-Feb,New Zealand,UAE,Chennai,D
10-Feb,Pakistan,USA,Colombo (SSC),A
11-Feb,South Africa,Afghanistan,Ahmedabad,D
11-Feb,Australia,Ireland,Colombo (RPS),B
11-Feb,England,West Indies,Mumbai,C
12-Feb,Sri Lanka,Oman,Kandy,B
12-Feb,Nepal,Italy,Mumbai,C
12-Feb,India,Namibia,Delhi,A
13-Feb,Australia,Zimbabwe,Colombo (RPS),B
13-Feb,Canada,UAE,Delhi,D
13-Feb,USA,Netherlands,Chennai,A
14-Feb,Ireland,Oman,Colombo (SSC),B
14-Feb,England,Scotland,Kolkata,C
14-Feb,New Zealand,South Africa,Ahmedabad,D
15-Feb,West Indies,Nepal,Mumbai,C
15-Feb,USA,Namibia,Chennai,A
15-Feb,India,Pakistan,Colombo (RPS),A
16-Feb,Afghanistan,UAE,Delhi,D
16-Feb,England,Italy,Kolkata,C
16-Feb,Australia,Sri Lanka,Kandy,B
17-Feb,New Zealand,Canada,Chennai,D
17-Feb,Ireland,Zimbabwe,Kandy,B
17-Feb,Scotland,Nepal,Mumbai,C
18-Feb,South Africa,UAE,Delhi,D
18-Feb,Pakistan,Namibia,Colombo (SSC),A
18-Feb,India,Netherlands,Ahmedabad,A
19-Feb,West Indies,Italy,Kolkata,C
19-Feb,Sri Lanka,Zimbabwe,Colombo (RPS),B
19-Feb,Afghanistan,Canada,Chennai,D
20-Feb,Australia,Oman,Kandy,B
