date,event,venue,toss_winner,toss_decision,winner,team1,team2
2021/10/17,ICC Men's T20 World Cup,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,field,Oman,Papua New Guinea,Oman
2021/10/17,ICC Men's T20 World Cup,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,field,Scotland,Scotland,Bangladesh
2021/10/18,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",Netherlands,bat,Ireland,Netherlands,Ireland
2021/10/18,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",Sri Lanka,field,Sri Lanka,Namibia,Sri Lanka
2021/10/19,ICC Men's T20 World Cup,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,bat,Scotland,Scotland,Papua New Guinea
2021/10/19,ICC Men's T20 World Cup,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,bat,Bangladesh,Bangladesh,Oman
2021/10/20,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",Namibia,field,Namibia,Netherlands,Namibia
2021/10/20,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",Ireland,field,Sri Lanka,Sri Lanka,Ireland
2021/10/21,ICC Men's T20 World Cup,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,bat,Bangladesh,Bangladesh,Papua New Guinea
2021/10/21,ICC Men's T20 World Cup,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,bat,Scotland,Oman,Scotland
2021/10/22,ICC Men's T20 World Cup,Sharjah Cricket Stadium,Ireland,bat,Namibia,Ireland,Namibia
2021/10/22,ICC Men's T20 World Cup,Sharjah Cricket Stadium,Sri Lanka,field,Sri Lanka,Netherlands,Sri Lanka
2021/10/23,ICC Men's T20 World Cup,"""Zayed Cricket Stadium",Australia,field,Australia,South Africa,Australia
2021/10/23,ICC Men's T20 World Cup,Dubai International Cricket Stadium,England,field,England,West Indies,England
2021/10/24,ICC Men's T20 World Cup,Sharjah Cricket Stadium,Sri Lanka,field,Sri Lanka,Bangladesh,Sri Lanka
2021/10/24,ICC Men's T20 World Cup,Dubai International Cricket Stadium,Pakistan,field,Pakistan,India,Pakistan
2021/10/26,ICC Men's T20 World Cup,Dubai International Cricket Stadium,South Africa,field,South Africa,West Indies,South Africa
